id,name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
3TVXtAsR1Inumwj472S9r4,Drake,0.13071785714285714,0.7707142857142857,0.4997142857142857,0.0064052007142857146,0.18342857142857144,0.19236428571428574,0.36467857142857146
06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.27046200000000004,0.6001333333333334,0.6360666666666667,0.00026803266666666667,0.15011999999999998,0.09110666666666667,0.6007333333333335
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,0.29954800000000004,0.6552399999999998,0.6507599999999999,8.891999999999999e-06,0.15140799999999996,0.040988000000000004,0.5053359999999999
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,0.2492634,0.65648,0.6006800000000002,5.7313599999999986e-05,0.10574800000000001,0.071388,0.42664
4dpARuHxo51G3z768sgnrY,Adele,0.41074727272727274,0.5613636363636363,0.48645454545454553,3.5356363636363634e-05,0.10339545454545453,0.03566818181818182,0.34393181818181817
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,0.4287555555555556,0.6906666666666668,0.501388888888889,0.00013063333333333333,0.1630888888888889,0.05069999999999999,0.46272222222222226
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,0.3442636363636364,0.6515454545454546,0.551,3.2636363636363635e-07,0.19120909090909094,0.14807272727272727,0.46562727272727267
6jJ0s89eD6GaHleKKya26X,Katy Perry,0.03102697058823529,0.689264705882353,0.7736764705882356,5.458235294117645e-06,0.2414058823529412,0.04821176470588235,0.6060882352941176
04gDigrS5kc9YWfZHwBETP,Maroon 5,0.06880913793103446,0.6667241379310344,0.7352413793103448,9.655172413793103e-06,0.2484172413793103,0.04850689655172415,0.6454137931034483
246dkjvS1zLTtiykXe5h60,Post Malone,0.22928,0.6508,0.6254500000000002,0.0450767795,0.15792500000000004,0.065885,0.42214999999999997
