id,name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
3Nrfpe0tUJi4K4DXYWgMUX,BTS,0.13641269230769232,0.6683076923076923,0.6866923076923078,0.0,0.1735769230769231,0.06916923076923077,0.5575730769230769
4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,0.17872150000000003,0.6774500000000001,0.74725,0.0,0.26275499999999996,0.06355999999999999,0.47759999999999997
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0.0796748275862069,0.7189310344827586,0.7648965517241378,0.00021740517241379312,0.19648275862068965,0.09513793103448275,0.4824827586206897
3cjEqqelV9zb4BYE3qDQ4O,EXO,0.14928999999999998,0.6681999999999999,0.7384,4.81e-06,0.1796,0.06637,0.6026999999999999
0qlWcS66ohOIi0M8JZwPft,GFRIEND,0.17055272727272724,0.607909090909091,0.8814545454545454,5.254545454545454e-05,0.14456363636363634,0.06421818181818183,0.6183636363636364
0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,0.0799357142857143,0.7029285714285715,0.9047857142857143,0.00020305071428571426,0.25360000000000005,0.09226428571428573,0.668
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,0.11500999999999999,0.7139,0.8527999999999999,0.0010269250000000001,0.17673,0.09708999999999998,0.6714
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,0.16324166666666665,0.6546666666666666,0.72425,1.275e-07,0.164725,0.06530833333333333,0.6755
2hRQKC0gqlZGPrmUKbcchR,SHINee,0.1044357142857143,0.7232857142857144,0.8349285714285715,3.611428571428572e-05,0.1921714285714286,0.0657,0.6244285714285713
6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,0.046474076923076924,0.720076923076923,0.8552307692307692,0.001283766923076923,0.16633076923076923,0.07830769230769229,0.6906923076923077
7n2Ycct7Beij7Dj7meI4X0,TWICE,0.06794642857142859,0.6877142857142857,0.855642857142857,0.00020652321428571427,0.23256785714285716,0.06967857142857144,0.6599285714285715
